Unnamed: 0.1,Unnamed: 0,Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad,G_Male,G_Female,FHWO_Yes,FHWO_No,FAVC_Yes,FAVC_No,CAEC_Sometimes,CAEC_Frequently,CAEC_Always,CAEC_No,SMOKE_Yes,SMOKE_No,SCC_Yes,SCC_No,CALC_Sometimes,CALC_Frequently,CALC_Always,CALC_No,MTRANS_Automobile,MTRANS_Public_Transportation,MTRANS_Walking,MTRANS_Motorbike,MTRANS_Bike,NObeyesdad_Insufficient_Weight,NObeyesdad_Normal_Weight,NObeyesdad_Obesity_Type_I,NObeyesdad_Obesity_Type_II,NObeyesdad_Obesity_Type_III,NObeyesdad_Overweight_Level_I,NObeyesdad_Overweight_Level_II
0.0,0.0,Female,0.33208072483923967,0.3230956363083477,0.1903069941462825,yes,no,0.5,0.6304931807516507,Sometimes,no,0.5,no,0.0,0.5,no,Public_Transportation,Normal_Weight,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0.00047393364928909954,0.0004739336492889379,Female,0.33208072483923967,0.13303937965637846,0.1294087560194721,yes,no,1.0,0.6304931807516507,Sometimes,yes,1.0,yes,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.0009478672985781991,0.0009478672985780978,Male,0.42696093193616536,0.6651968982818914,0.2892666311023495,yes,no,0.5,0.6304931807516507,Sometimes,no,0.5,no,0.6666666666666667,0.5,Frequently,Public_Transportation,Normal_Weight,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.0014218009478672985,0.0014218009478672577,Male,0.6167213461300167,0.6651968982818914,0.36538942876086233,no,no,1.0,0.6304931807516507,Sometimes,no,0.5,no,0.6666666666666667,0.0,Frequently,Walking,Overweight_Level_I,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.0018957345971563982,0.0018957345971561956,Male,0.37952082838770274,0.6271856469514976,0.38670381210524596,no,no,0.5,0.0,Sometimes,no,0.5,no,0.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.002369668246445498,0.0023696682464453556,Male,0.7116015532269424,0.3230956363083477,0.1065719167219179,no,yes,0.5,0.6304931807516507,Sometimes,no,0.5,no,0.0,0.0,Sometimes,Automobile,Normal_Weight,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.002843601895734597,0.0028436018957342934,Female,0.42696093193616536,0.09502812832598462,0.12179647625362078,yes,yes,1.0,0.6304931807516507,Sometimes,no,0.5,no,0.33333333333333326,0.0,Sometimes,Motorbike,Normal_Weight,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.0033175355450236967,0.0033175355450236754,Male,0.37952082838770274,0.3611068876387411,0.1065719167219179,no,no,0.5,0.6304931807516507,Sometimes,no,0.5,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.0037914691943127963,0.0037914691943126133,Male,0.4744010354846284,0.6271856469514976,0.1903069941462825,yes,yes,1.0,0.6304931807516507,Sometimes,no,0.5,no,0.33333333333333326,0.5,Frequently,Public_Transportation,Normal_Weight,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.0042654028436018955,0.004265402843601773,Male,0.37952082838770274,0.513151892960316,0.22075611320968758,yes,yes,0.5,0.6304931807516507,Sometimes,no,0.5,no,0.33333333333333326,0.5,no,Public_Transportation,Normal_Weight,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0.004739336492890996,0.004739336492890933,Male,0.5692812425815541,0.760225026607876,0.5024104645461858,yes,yes,1.0,0.6304931807516507,Frequently,no,1.0,no,0.6666666666666667,1.0,Sometimes,Public_Transportation,Obesity_Type_I,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.005213270142180095,0.005213270142180093,Female,0.33208072483923967,0.513151892960316,0.31210347039990327,yes,yes,0.5,0.6304931807516507,Frequently,no,0.5,yes,0.6666666666666667,0.5,Sometimes,Public_Transportation,Overweight_Level_II,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
